sentence,rate,repay,tax,total,pay,text_money,discount
Tổng:,0,0,0,1.0,0.0,0.0,0.0
68000,0,0,0,1.0,0.0,0.0,0.0
T.CÔNG:,0,0,0,1.0,0.0,0.0,0.0
Tiền mặt 112.000,0,0,0,0.0,1.0,0.0,0.0
TỶ giá 35,1,0,0,0.0,0.0,0.0,0.0
Một trăm mười hai ngàn đồng,0,0,0,0.0,0.0,1.0,0.0
"KHACH TRA 400,000,000",0,0,0,0.0,1.0,0.0,0.0
"T.CONG 8 489,000",0,0,0,1.0,0.0,0.0,0.0
"GIAM % HB (-20%) -37,800",0,0,0,0.0,0.0,0.0,1.0
"TIEN MAT 151,200",0,0,0,0.0,1.0,0.0,0.0
Một trăm năm mươi mốt ngàn hai trăm,0,0,0,0.0,0.0,1.0,0.0
"T.CỘNG 5 58,000",0,0,0,1.0,0.0,0.0,0.0
"Số lương:& tiền: 8 3 319,500",0,0,0,1.0,0.0,0.0,0.0
"Tiền khách trả: 319,500",0,0,0,0.0,1.0,0.0,0.0
Tiền thừa: 0,0,1,0,0.0,0.0,0.0,0.0
"Tien ban 735,000",0,0,0,1.0,0.0,0.0,0.0
"Ten khong thue 735,000",0,0,0,1.0,0.0,0.0,0.0
"Tien 771,000",0,0,0,1.0,0.0,0.0,0.0
30000.0 9.0,0,0,0,1.0,0.0,0.0,0.0
"35,000 35.000",0,0,0,1.0,0.0,0.0,0.0
"_Ò 12000 12,000",0,0,0,1.0,0.0,0.0,0.0
_ 16.000.,0,0,0,1.0,0.0,0.0,0.0
"----35,000",0,0,0,1.0,0.0,0.0,0.0
Thanh toán. F,0,0,0,0.0,1.0,0.0,0.0
540,0,0,0,1.0,0.0,0.0,0.0
T.CONG 3.0 95.000,0,0,0,1.0,0.0,0.0,0.0
"TIÊN MẶT 95,000",0,0,0,0.0,1.0,0.0,0.0
Chin muoi lim ngan dong /.,0,0,0,0.0,0.0,1.0,0.0
"KHÁCH ĐƯA 700,000",0,0,0,0.0,1.0,0.0,0.0
"TRẢ LẠI 25,000",0,1,0,0.0,0.0,0.0,0.0
"Tổng Tiền: 165,220,000.",0,0,0,1.0,0.0,0.0,0.0
"Vat (10%): 16,522,000",0,0,1,0.0,0.0,0.0,0.0
"Trả thực : 181,742,000",0,0,0,0.0,1.0,0.0,0.0
“Tổng dịch vụ: 125.000,0,0,0,0.0,1.0,0.0,0.0
Tổng tiền giờ: 11.000,0,0,0,1.0,0.0,0.0,0.0
Tổng hóa đơn: 136.000,0,0,0,1.0,0.0,0.0,0.0
Thuế GTGT 0% 0,0,0,1,0.0,0.0,0.0,0.0
":TONG CONG : 150: 404,000",0,0,0,1.0,0.0,0.0,0.0
"“SỞ 'TIÊN THÔI LAI 86,000",0,1,0,0.0,0.0,0.0,0.0
"| 25] GIAM GIAS% ED ——} “6,144,000,",0,0,0,0.0,0.0,0.0,1.0
Service Charge : RM 0.00,0,0,0,0.0,1.0,0.0,0.0
"GIẢM % MÓN =7,500",0,0,0,0.0,0.0,0.0,1.0
680000,0,0,0,1.0,0.0,0.0,0.0
18010,0,0,0,1.0,0.0,0.0,0.0
"GIAM MON. -1,750.",0,0,0,0.0,0.0,0.0,1.0
TY GIA,1,0,0,0.0,0.0,0.0,0.0
97000,0,0,0,1.0,0.0,0.0,0.0
"Khách đưa 200,000",0,0,0,0.0,1.0,0.0,0.0
"TRA LAI 50,000",0,1,0,0.0,0.0,0.0,0.0
"Tổng công: 6,103,000",0,0,0,1.0,0.0,0.0,0.0
37000,0,0,0,1.0,0.0,0.0,0.0
480000,0,0,0,1.0,0.0,0.0,0.0
GIAM% MON 5% .snn,0,0,0,0.0,0.0,0.0,1.0
"ý Tiên mặt. ~ 1,243,925",0,0,0,0.0,1.0,0.0,0.0
"GIAM % MON 5 % -7,500",0,0,0,0.0,0.0,0.0,1.0
GST Summary Âmount(RM) - TaxRM),0,0,0,1.0,0.0,0.0,0.0
"TIEN MAT, 198,200",0,0,0,0.0,1.0,0.0,0.0
540000,0,0,0,1.0,0.0,0.0,0.0
B4n tram tam mirot ngan dang?,0,0,0,0.0,0.0,1.0,0.0
Total: 9.00,0,0,0,1.0,0.0,0.0,0.0
woe chỉn mươi tám ngàn hai trăm.,0,0,0,0.0,0.0,1.0,0.0
21000,0,0,0,1.0,0.0,0.0,0.0
181000,0,0,0,1.0,0.0,0.0,0.0
"Tra khách; 65,000",0,1,0,0.0,0.0,0.0,0.0
Thuế 0% = 0 VNĐ,0,0,1,0.0,0.0,0.0,0.0
"T,GỌNG: 38 1,398,000",0,0,0,1.0,0.0,0.0,0.0
CHANGE  /a 00,0,0,0,1.0,0.0,0.0,0.0
Sub Total,0,0,0,1.0,0.0,0.0,0.0
Khách đưa,0,0,0,0.0,1.0,0.0,0.0
"Tổng: —_ 300,000",0,0,0,1.0,0.0,0.0,0.0
Trả lại 103.000,0,1,0,0.0,0.0,0.0,0.0
"KHÁCH ĐƯA 350,000.",0,0,0,0.0,1.0,0.0,0.0
"Tien 414,000",0,0,0,1.0,0.0,0.0,0.0
‘CHANGE: RM ˆ 0.00,0,0,0,1.0,0.0,0.0,0.0
"THANH TOÁN: 328,000 VNB",0,0,0,1.0,0.0,0.0,0.0
"Total : 9,00",0,0,0,1.0,0.0,0.0,0.0
T.CÔNG,0,0,0,1.0,0.0,0.0,0.0
Total Itens =  I.00 -,0,0,0,1.0,0.0,0.0,0.0
"TRẢ LẠI 26,000",0,1,0,0.0,0.0,0.0,0.0
"""Trả lại 70,000",0,1,0,0.0,0.0,0.0,0.0
"| GIAMITIEN HB) -10,000.",0,0,0,0.0,0.0,0.0,1.0
"GIAM% MON 5% -1,750.",0,0,0,0.0,0.0,0.0,1.0
"Tiên mặt 480,000",0,0,0,1.0,0.0,0.0,0.0
Giảm giá: 0% = 0 VNĐ,0,0,0,0.0,0.0,0.0,1.0
Tổng: 85.000,0,0,0,1.0,0.0,0.0,0.0
"Khách đưa - 1,500,500",0,0,0,0.0,1.0,0.0,0.0
Rounded Total (RM): 9.00,0,0,0,1.0,0.0,0.0,0.0
TCONG,0,0,0,1.0,0.0,0.0,0.0
"KHÁCH ĐUA. 00,000",0,0,0,0.0,1.0,0.0,0.0
"T.CONG 4,0",0,0,0,1.0,0.0,0.0,0.0
SR @ 6% - 68. 87 4.13,0,0,0,0.0,0.0,0.0,1.0
"""Tang: 85.000",0,0,0,1.0,0.0,0.0,0.0
GIAM % MON,0,0,0,0.0,0.0,0.0,1.0
"TAM TINH 1,110,500",0,0,0,1.0,0.0,0.0,0.0
"Trả lại 289,075",0,1,0,0.0,0.0,0.0,0.0
Cash — 10.00,0,0,0,1.0,0.0,0.0,0.0
"T.GỘNG 6 58,000",0,0,0,1.0,0.0,0.0,0.0
"Tổng tiền: 328,000 VNĐ",0,0,0,1.0,0.0,0.0,0.0
"SỐ TIỀN THỐI LẠI 86,000",0,1,0,0.0,0.0,0.0,0.0
"Tiền mặt 97,000",0,0,0,1.0,0.0,0.0,0.0
"Thanh toán); 6,103:008",0,0,0,1.0,0.0,0.0,0.0
"Tổng: 130,000",0,0,0,1.0,0.0,0.0,0.0
"Tien Ban 735,000",0,0,0,1.0,0.0,0.0,0.0
"Tien khong thue 735,000",0,0,0,1.0,0.0,0.0,0.0
VAT,0,0,1,0.0,0.0,0.0,0.0
ROUNDING ADJUSTMENT RM 0.02,0,0,0,1.0,0.0,0.0,0.0
ROUNIDNG ADJUSTMENT RM 0.02,0,0,0,1.0,0.0,0.0,0.0
"T.CONG 34 1,118,000",0,0,0,1.0,0.0,0.0,0.0
95000,0,0,0,1.0,0.0,0.0,0.0
"Tiền hàng: 95,000",0,0,0,1.0,0.0,0.0,0.0
QUY DOI Usn,1,0,0,0.0,0.0,0.0,0.0
"SO TIEN THO! LAI 1,880",0,0,0,0.0,1.0,0.0,0.0
_Hàng khuyến mãi ˆ,0,0,0,0.0,0.0,0.0,1.0
SÓ TIỀN KHÁCH ĐƯA,0,0,0,0.0,1.0,0.0,0.0
